frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
73,0,4.800,0.98,1,0.00,0.00,0.47,0.00,0.00,0.08,0.00,0.00,0.24,1.26,0.00,0.35,0.00,0.68,0.00,0.02,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
74,0,4.867,0.98,1,0.00,0.00,0.52,0.00,0.00,0.08,0.00,0.00,0.25,1.15,0.00,0.33,0.00,0.70,0.00,0.02,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
75,0,4.933,0.98,1,0.00,0.00,0.52,0.00,0.00,0.02,0.00,0.00,0.24,1.17,0.00,0.27,0.00,0.72,0.00,0.02,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
76,0,5.000,0.98,1,0.00,0.00,0.57,0.00,0.00,0.01,0.00,0.00,0.23,1.20,0.00,0.28,0.00,0.74,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
77,0,5.067,0.98,1,0.00,0.00,0.47,0.00,0.00,0.00,0.00,0.00,0.23,1.25,0.00,0.24,0.00,0.69,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
78,0,5.133,0.98,1,0.00,0.00,0.44,0.00,0.00,0.00,0.00,0.00,0.26,1.17,0.00,0.25,0.00,0.68,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
79,0,5.200,0.98,1,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.27,1.24,0.00,0.27,0.00,0.55,0.00,0.00,0.19,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
80,0,5.267,0.98,1,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.29,1.22,0.00,0.22,0.00,0.54,0.00,0.00,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
81,0,5.333,0.98,1,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.25,1.23,0.00,0.15,0.00,0.52,0.00,0.00,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
82,0,5.400,0.98,1,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.24,1.08,0.00,0.10,0.00,0.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
